 População Residente - Brasil
População residente por Município e Faixa Etária
Período:2012
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";371;1511;2079;2369;2554;4235;3613;3238;2039;1211;680;169;24069
"110002 ARIQUEMES";1447;6015;8504;9502;9281;17901;14999;11762;7080;3772;1842;642;92747
"110003 CABIXI";109;382;493;588;577;942;893;856;664;365;208;55;6132
"110004 CACOAL";1222;4642;6336;7545;7935;14918;12806;10580;6808;3665;2055;818;79330
"110005 CEREJEIRAS";254;968;1342;1619;1701;2939;2543;2372;1450;976;514;174;16852
"110006 COLORADO DO OESTE";277;1043;1383;1623;1738;3180;2772;2362;1729;1119;634;233;18093
"110007 CORUMBIARA";117;487;729;882;921;1430;1364;1136;756;415;220;73;8530
"110008 COSTA MARQUES";302;1173;1601;1757;1473;2530;2148;1485;1001;555;244;86;14355
"110009 ESPIGAO D'OESTE";512;1899;2517;2894;2796;5380;4753;3642;2464;1400;689;243;29189
"110010 GUAJARA-MIRIM";806;3370;4521;4664;4336;7438;6329;4765;2851;1754;918;450;42202
"110011 JARU";773;3267;4613;5105;5085;10055;8342;6224;4069;2351;1370;511;51765
"110012 JI-PARANA";1858;7476;9910;10863;11607;22935;19020;15445;9999;5179;2725;1075;118092
"110013 MACHADINHO D'OESTE";595;2402;3264;3527;3274;5682;4953;3809;2709;1407;621;160;32403
"110014 NOVA BRASILANDIA D'OESTE";283;1166;1723;2073;2176;3428;3222;2414;1699;1046;512;149;19891
"110015 OURO PRETO DO OESTE";565;2259;3137;3602;3683;7098;5740;4972;3099;1889;1044;394;37482
"110018 PIMENTA BUENO";530;2129;2923;3302;3405;6605;5320;4467;2852;1563;735;304;34135
"110020 PORTO VELHO";7617;28913;38008;42912;43378;93851;73439;55578;34053;15387;6779;2786;442701
"110025 PRESIDENTE MEDICI";281;1247;1809;2032;2187;3649;3157;2900;2166;1263;718;300;21709
"110026 RIO CRESPO";53;226;323;351;293;562;502;463;284;179;107;31;3374
"110028 ROLIM DE MOURA";732;3108;4309;4755;5116;9901;8308;6548;4167;2398;1312;488;51142
"110029 SANTA LUZIA D'OESTE";135;483;650;808;862;1425;1305;1210;778;456;260;104;8476
"110030 VILHENA";1349;5262;6891;7536;7599;15732;13096;10405;6272;3346;1642;486;79616
"110032 SAO MIGUEL DO GUAPORE";361;1478;2098;2386;2339;3936;3432;2633;1702;981;477;104;21927
"110033 NOVA MAMORE";427;1881;2649;2709;2305;4158;3727;2710;1714;883;405;151;23719
"110034 ALVORADA D'OESTE";249;1022;1444;1663;1730;2734;2442;2116;1533;841;468;162;16404
"110037 ALTO ALEGRE DOS PARECIS";199;906;1292;1369;1403;2122;2021;1557;1000;622;266;76;12833
"110040 ALTO PARAISO";286;1200;1781;2019;1744;2887;2824;2198;1447;859;390;107;17742
"110045 BURITIS";571;2478;3439;3595;3394;6224;5395;3787;2485;1333;542;154;33397
"110050 NOVO HORIZONTE DO OESTE";154;586;819;999;1056;1539;1567;1324;919;579;303;88;9933
"110060 CACAULANDIA";93;397;571;619;552;955;897;696;507;303;163;38;5791
"110070 CAMPO NOVO DE RONDONIA";215;976;1386;1421;1287;2198;1955;1559;1082;500;212;56;12847
"110080 CANDEIAS DO JAMARI";406;1625;2179;2307;2058;3753;3082;2338;1649;894;350;146;20787
"110090 CASTANHEIRAS";46;187;293;365;348;530;536;463;313;253;111;34;3479
"110092 CHUPINGUAIA";169;652;865;951;890;1600;1428;1053;616;333;132;32;8721
"110094 CUJUBIM";313;1393;1927;1945;1784;3109;2743;1957;1237;594;218;42;17262
"110100 GOVERNADOR JORGE TEIXEIRA";138;633;972;1093;1032;1689;1468;1271;861;533;257;93;10040
"110110 ITAPUA DO OESTE";194;672;872;1028;919;1389;1311;1015;760;436;178;56;8830
"110120 MINISTRO ANDREAZZA";174;669;938;1113;1112;1679;1593;1251;803;503;281;87;10203
"110130 MIRANTE DA SERRA";144;738;1156;1244;1204;1987;1783;1331;998;584;382;135;11686
"110140 MONTE NEGRO";226;987;1477;1634;1412;2378;2181;1662;1178;715;369;94;14313
"110143 NOVA UNIAO";119;462;667;826;869;1198;1144;889;613;361;172;62;7382
"110145 PARECIS";93;366;475;515;528;902;716;638;399;230;101;27;4990
"110146 PIMENTEIRAS DO OESTE";47;176;230;250;211;349;371;281;181;125;41;21;2283
"110147 PRIMAVERA DE RONDONIA";48;180;302;397;308;535;512;459;323;193;102;47;3406
"110148 SAO FELIPE D'OESTE";78;325;484;572;550;929;930;786;589;372;188;59;5862
"110149 SAO FRANCISCO DO GUAPORE";316;1226;1666;1870;1728;2953;2653;1903;1245;696;295;85;16636
"110150 SERINGUEIRAS";154;764;1191;1306;1276;1962;1782;1432;964;457;263;68;11619
"110155 TEIXEIROPOLIS";73;264;387;503;492;820;677;649;380;296;165;72;4778
"110160 THEOBROMA";163;682;1007;1156;1064;1694;1643;1298;958;549;284;77;10575
"110170 URUPA";184;782;1128;1284;1293;2239;1905;1473;1227;726;332;114;12687
"110175 VALE DO ANARI";152;664;963;1050;965;1580;1423;1166;880;494;236;60;9633
"110180 VALE DO PARAISO";119;452;678;859;841;1324;1202;1040;730;426;216;74;7961
"120001 ACRELANDIA";272;1036;1465;1681;1361;2131;1869;1378;932;553;258;75;13011
"120005 ASSIS BRASIL";166;634;753;722;674;1141;868;568;390;222;111;59;6308
"120010 BRASILEIA";416;1724;2391;2576;2351;3943;3340;2355;1494;932;522;217;22261
"120013 BUJARI";181;712;1010;1121;865;1456;1269;841;680;422;139;86;8782
"120017 CAPIXABA";186;766;1156;1300;950;1378;1296;1008;672;419;173;64;9368
"120020 CRUZEIRO DO SUL";1773;7032;9540;10262;8852;15193;11023;6568;4454;2834;1514;774;79819
"120025 EPITACIOLANDIA";311;1237;1653;1780;1665;2837;2307;1683;1024;661;363;158;15679
"120030 FEIJO";894;3504;4517;4528;3574;5636;3918;2617;1528;1097;498;249;32560
"120032 JORDAO";247;952;1148;1057;772;1145;752;411;226;94;53;41;6898
"120033 MANCIO LIMA";418;1556;2021;2163;1732;2881;2065;1216;892;547;274;125;15890
"120034 MANOEL URBANO";217;837;1102;1149;895;1409;1059;645;450;239;159;63;8224
"120035 MARECHAL THAUMATURGO";496;1943;2405;2296;1846;2594;1587;910;531;304;162;49;15123
"120038 PLACIDO DE CASTRO";358;1480;2067;2188;1800;2805;2392;1840;1271;788;425;173;17587
"120039 PORTO WALTER";331;1274;1614;1550;1002;1537;1089;590;387;188;96;53;9711
"120040 RIO BRANCO";6523;24975;33213;37008;35117;70254;56199;38328;24324;12820;6400;3193;348354
"120042 RODRIGUES ALVES";374;1661;2304;2225;1635;2582;1932;1106;704;464;196;77;15260
"120043 SANTA ROSA DO PURUS";162;704;826;646;532;966;590;288;169;128;36;14;5061
"120045 SENADOR GUIOMARD";397;1633;2273;2433;2082;3579;2943;2097;1521;930;493;207;20588
"120050 SENA MADUREIRA";844;3377;4575;4908;4374;7570;5395;3391;2334;1453;756;389;39366
"120060 TARAUACA";1056;4173;5238;5076;4181;6194;4203;2799;1752;1155;629;307;36763
"120070 XAPURI";328;1337;1882;2055;1761;2837;2303;1629;1129;773;405;200;16639
"120080 PORTO ACRE";295;1256;1843;2003;1601;2413;2165;1596;1106;732;386;138;15534
"130002 ALVARAES";421;1817;2244;1933;1643;2360;1625;1004;643;404;208;79;14381
"130006 AMATURA";322;1004;1162;1357;1117;1795;1309;766;461;301;134;66;9794
"130008 ANAMA";225;1013;1438;1451;1190;1948;1464;903;508;343;211;72;10766
"130010 ANORI";423;1621;2153;2327;1965;3008;2346;1442;787;539;320;141;17072
"130014 APUI";339;1338;1900;2149;1817;3751;2892;2082;1367;694;238;66;18633
"130020 ATALAIA DO NORTE";471;1756;2035;1988;2000;3164;1968;1240;637;383;207;75;15924
"130030 AUTAZES";849;3410;4460;4460;3604;5236;4019;2966;1949;1302;697;360;33312
"130040 BARCELOS";544;2036;2851;3385;3079;5675;3144;2147;1562;1022;398;105;25948
"130050 BARREIRINHA";768;3250;4246;4005;3134;4160;3079;2136;1432;948;567;352;28077
"130060 BENJAMIN CONSTANT";1103;4074;4662;4438;4126;6170;3952;2702;1726;1072;633;292;34950
"130063 BERURI";438;1934;2524;2277;1785;2543;1694;1212;813;511;290;137;16158
"130068 BOA VISTA DO RAMOS";366;1609;2253;2262;1816;2590;1828;1216;837;470;260;152;15659
"130070 BOCA DO ACRE";685;2792;3772;3959;3475;5406;4173;2769;1906;1264;668;302;31171
"130080 BORBA";953;3779;4770;4737;4246;6312;4212;2734;1911;1132;669;464;35919
"130083 CAAPIRANGA";289;1095;1438;1536;1270;2020;1487;891;635;390;185;67;11303
"130090 CANUTAMA";272;1133;1564;1641;1409;2599;2056;1453;954;568;258;79;13986
"130100 CARAUARI";670;2652;3593;3813;3079;4408;3065;2116;1282;832;429;191;26130
"130110 CAREIRO";693;2897;4127;4389;3449;5678;4798;3171;2180;1262;644;229;33517
"130115 CAREIRO DA VARZEA";508;1975;2698;3009;2699;3968;3588;2731;1720;1214;601;226;24937
"130120 COARI";1905;7282;9376;10046;9441;15579;9758;5956;3894;2288;1244;536;77305
"130130 CODAJAS";434;2199;3207;3135;2890;4448;3161;2018;1220;773;391;191;24067
"130140 EIRUNEPE";846;3455;4302;4087;3766;5514;3661;2409;1574;1023;500;227;31364
"130150 ENVIRA";481;1791;2302;2447;1998;3060;2081;1248;693;415;291;116;16923
"130160 FONTE BOA";723;2639;3069;2984;2597;4322;2762;1643;1131;736;399;193;23198
"130165 GUAJARA";354;1503;2073;2129;1795;2453;1616;1159;636;400;187;91;14396
"130170 HUMAITA";919;3771;5465;6148;5335;8576;5905;4163;2758;1725;856;333;45954
"130180 IPIXUNA";741;3069;3670;3060;2262;4108;2841;1759;915;633;290;112;23460
"130185 IRANDUBA";924;3911;5242;5207;4421;7059;5656;3832;2704;1719;932;340;41947
"130190 ITACOATIARA";1999;8038;10657;11024;9523;15163;12177;8127;5864;3585;1994;913;89064
"130195 ITAMARATI";226;891;1135;1113;874;1486;1009;568;331;241;73;36;7983
"130200 ITAPIRANGA";172;755;1040;1056;972;1390;1050;733;536;375;185;84;8348
"130210 JAPURA";241;811;962;1052;880;1398;909;626;302;135;84;48;7448
"130220 JURUA";297;1260;1663;1605;1341;2045;1377;842;475;308;156;70;11439
"130230 JUTAI";660;2481;2771;2419;2025;3025;1966;1266;762;540;281;97;18293
"130240 LABREA";913;3854;5091;5002;4340;7116;4737;3325;2258;1378;714;294;39022
"130250 MANACAPURU";1912;7837;10819;11499;9785;15299;11255;7568;5047;3251;1908;805;86985
"130255 MANAQUIRI";563;2343;3154;3156;2510;4263;3015;2274;1422;980;467;178;24325
"130260 MANAUS";34931;132984;171419;186523;181342;377993;316818;214802;133357;65809;31611;14249;1861838
"130270 MANICORE";1096;4447;6063;6457;5677;8532;6158;4137;2711;1770;901;424;48373
"130280 MARAA";463;2009;2622;2441;2029;3389;2090;1212;658;423;180;80;17596
"130290 MAUES";1526;5927;7328;7118;5929;8952;6121;4341;3358;1679;1165;635;54079
"130300 NHAMUNDA";370;1721;2432;2422;2180;3090;2297;1659;1117;762;458;212;18720
"130310 NOVA OLINDA DO NORTE";711;2973;4059;4230;3777;5743;3845;2714;1778;912;543;464;31749
"130320 NOVO AIRAO";388;1507;1859;1851;1727;2820;1940;1379;1016;551;306;145;15489
"130330 NOVO ARIPUANA";417;1964;2835;2850;2464;4011;2914;1940;1265;805;464;177;22106
"130340 PARINTINS";2308;9574;13201;13872;11877;17533;12890;8987;6307;3856;2333;1090;103828
"130350 PAUINI";499;2042;2623;2502;1970;3526;2162;1303;847;527;243;85;18329
"130353 PRESIDENTE FIGUEIREDO";648;2434;3259;3586;2934;4948;4128;3038;2141;1049;374;113;28652
"130356 RIO PRETO DA EVA";542;2226;3030;3166;2736;5344;4070;2576;1778;950;407;123;26948
"130360 SANTA ISABEL DO RIO NEGRO";726;2516;2726;2536;2059;3103;2198;1455;851;625;380;117;19292
"130370 SANTO ANTONIO DO ICA";749;2881;3546;3450;2846;4353;3047;1833;1078;593;296;218;24890
"130380 SAO GABRIEL DA CACHOEIRA";1030;3997;4966;4877;4130;6616;5068;3486;2238;1550;757;382;39097
"130390 SAO PAULO DE OLIVENCA";915;3620;4516;4362;3699;5679;3935;2714;1385;1067;550;235;32677
"130395 SAO SEBASTIAO DO UATUMA";249;1124;1572;1556;1310;1936;1395;876;621;382;150;70;11241
"130400 SILVES";228;901;1134;1118;981;1238;1033;755;598;316;171;71;8544
"130406 TABATINGA";1408;5898;7226;6519;6044;10033;7087;4542;2826;1652;824;381;54440
"130410 TAPAUA";423;1862;2467;2371;2195;3315;2091;1405;903;499;281;91;17903
"130420 TEFE";1480;6337;8220;7788;6827;11150;7819;4800;3094;1970;1025;490;61000
"130423 TONANTINS";573;1996;2320;2393;2080;3063;2097;1263;709;463;264;95;17316
"130426 UARINI";346;1491;1825;1549;1306;2166;1524;837;532;343;139;81;12139
"130430 URUCARA";378;1724;2359;2245;1893;2540;2033;1527;1009;674;355;165;16902
"130440 URUCURITUBA";462;1811;2365;2476;2195;3317;2127;1554;1114;638;385;235;18679
"140002 AMAJARI";319;1287;1479;1203;937;1515;1094;863;654;360;148;77;9936
"140005 ALTO ALEGRE";482;1972;2387;2065;1540;2497;1859;1449;1003;585;290;99;16228
"140010 BOA VISTA";5845;22341;28961;31656;30964;61875;47898;32639;19396;9224;4210;1950;296959
"140015 BONFIM";327;1285;1592;1506;1175;1643;1315;937;709;419;195;85;11188
"140017 CANTA";335;1355;1898;2004;1447;2001;1760;1583;1251;708;282;83;14707
"140020 CARACARAI";394;1634;2352;2562;2078;3179;2516;1838;1307;747;319;93;19019
"140023 CAROEBE";180;748;992;1000;876;1501;1183;862;588;354;142;54;8480
"140028 IRACEMA";218;800;1057;1168;954;1604;1216;1005;717;353;150;46;9288
"140030 MUCAJAI";296;1269;1761;1817;1562;2627;2163;1575;1161;695;306;96;15328
"140040 NORMANDIA";319;1259;1531;1376;973;1411;994;611;418;260;135;77;9364
"140045 PACARAIMA";329;1254;1561;1523;1132;1651;1402;955;626;319;131;70;10953
"140047 RORAINOPOLIS";436;1911;2911;3298;2899;4865;3340;2525;1723;946;342;123;25319
"140050 SAO JOAO DA BALIZA";154;582;775;853;727;1386;999;668;436;299;113;31;7023
"140060 SAO LUIZ";118;436;637;802;754;1464;1060;725;527;267;125;53;6968
"140070 UIRAMUTA";345;1354;1533;1261;962;1285;792;591;300;176;126;39;8764
"150010 ABAETETUBA";2724;10567;14422;16665;16960;28877;20844;13745;9278;5818;3058;1457;144415
"150013 ABEL FIGUEIREDO";131;538;727;769;718;1271;998;742;469;318;152;72;6905
"150020 ACARA";1293;4951;6393;6808;6171;9612;7064;4814;2975;2168;1062;476;53787
"150030 AFUA";931;3772;5014;5123;4305;6159;4147;2715;1803;1052;600;258;35879
"150034 AGUA AZUL DO NORTE";366;1660;2423;2586;2421;5569;4848;2926;1547;773;311;76;25506
"150040 ALENQUER";1231;5020;6776;7024;5936;8232;6799;4549;3498;2315;1397;592;53369
"150050 ALMEIRIM";808;3045;3874;4118;3727;5916;4722;3313;2156;1100;546;238;33563
"150060 ALTAMIRA";1937;7759;10390;11204;10722;19875;15570;11005;7128;3903;2009;841;102343
"150070 ANAJAS";743;3056;3826;3543;2964;4466;2983;1726;1151;724;383;166;25731
"150080 ANANINDEUA";7731;30580;41324;46230;46530;97353;83483;60137;39148;19340;8410;3555;483821
"150085 ANAPU";550;2112;2623;2673;2502;4085;2978;2079;1475;746;321;81;22225
"150090 AUGUSTO CORREA";1022;4062;5279;5412;4774;7247;4988;3380;2494;1717;872;381;41628
"150095 AURORA DO PARA";555;2233;3179;3551;3030;5247;3734;2484;1672;1147;530;214;27576
"150100 AVEIRO";379;1520;2124;2295;1825;2314;1801;1388;1081;655;361;156;15899
"150110 BAGRE";740;2824;3614;3721;3043;4553;3032;1640;1037;730;312;152;25398
"150120 BAIAO";749;3299;4745;4991;4290;7547;5316;3473;2341;1478;768;266;39263
"150125 BANNACH";66;278;354;338;317;576;523;378;294;162;70;23;3379
"150130 BARCARENA";2274;8465;10910;12049;11373;21217;16099;10751;6600;3338;1561;748;105385
"150140 BELEM";20517;80193;107015;121022;127580;276156;237263;182046;127121;74049;38972;18496;1410430
"150145 BELTERRA";303;1425;2030;2003;1700;2525;2177;1612;1275;817;519;193;16579
"150150 BENEVIDES";905;3922;5435;5738;5653;10580;8744;5804;3747;2031;1051;473;54083
"150157 BOM JESUS DO TOCANTINS";309;1168;1574;1776;1592;2927;2173;1662;1178;745;359;166;15629
"150160 BONITO";310;1245;1542;1503;1488;2902;2070;1311;899;513;298;126;14207
"150170 BRAGANCA";2426;9560;12421;13179;12843;22302;15789;10911;7689;4991;2770;1283;116164
"150172 BRASIL NOVO";372;1341;1729;1980;1877;3127;2626;2117;1325;845;449;172;17960
"150175 BREJO GRANDE DO ARAGUAIA";151;607;782;815;823;1287;959;728;578;314;177;74;7295
"150178 BREU BRANCO";1330;5052;6601;7061;5997;10541;7450;4880;3425;1946;925;313;55521
"150180 BREVES";2486;9839;12978;13342;10845;16119;11399;7102;5024;3090;1574;981;94779
"150190 BUJARU";542;2434;3357;3336;2990;4479;3479;2382;1510;1077;578;236;26400
"150195 CACHOEIRA DO PIRIA";619;3008;4088;3578;2769;5274;3712;2500;1430;763;316;96;28153
"150200 CACHOEIRA DO ARARI";460;1762;2280;2445;2289;3939;2751;2160;1341;871;563;286;21147
"150210 CAMETA";2900;11072;14525;15780;14279;23357;15798;10008;7416;5044;2787;1445;124411
"150215 CANAA DOS CARAJAS";653;2465;3066;3165;2895;6143;4756;2986;1664;847;349;112;29101
"150220 CAPANEMA";1073;4335;6073;6849;6570;12173;9782;7138;4962;2970;1874;825;64624
"150230 CAPITAO POCO";919;4023;5858;6421;6014;9500;7136;5150;3333;2112;1231;517;52214
"150240 CASTANHAL";3210;12592;16559;18186;18648;36480;28439;19779;12497;7200;3717;1679;178986
"150250 CHAVES";565;2272;2901;2826;2352;3660;2595;1799;1241;767;406;173;21557
"150260 COLARES";261;944;1188;1325;1290;1959;1375;1149;816;643;388;157;11495
"150270 CONCEICAO DO ARAGUAIA";804;3255;4601;5155;4652;7457;6692;5124;3715;2529;1353;548;45885
"150275 CONCORDIA DO PARA";711;2684;3338;3507;3408;5690;3986;2411;1537;1160;576;305;29313
"150276 CUMARU DO NORTE";248;954;1160;1107;907;2037;1864;1490;864;397;98;18;11144
"150277 CURIONOPOLIS";379;1396;1823;2079;2034;3025;2215;1869;1583;967;578;160;18108
"150280 CURRALINHO";886;3422;4244;4183;3549;5206;3401;2006;1333;881;450;277;29838
"150285 CURUA";271;1302;1790;1642;1391;2191;1492;1081;740;459;241;112;12712
"150290 CURUCA";611;2766;3936;4071;3757;6058;4535;3506;2607;1924;1248;504;35523
"150293 DOM ELISEU";1060;4392;5914;6120;5522;10713;8114;5417;3185;1663;748;252;53100
"150295 ELDORADO DOS CARAJAS";723;2815;3706;3932;3436;5685;4142;3341;2253;1380;539;163;32115
"150300 FARO";183;805;1038;976;940;1288;935;655;500;312;187;78;7897
"150304 FLORESTA DO ARAGUAIA";373;1465;1940;2091;1954;3187;2786;1917;1329;763;368;122;18295
"150307 GARRAFAO DO NORTE";486;2208;3176;3308;3009;4498;3174;2181;1394;1035;492;196;25157
"150309 GOIANESIA DO PARA";816;2986;3750;4063;3730;7154;5289;3395;2267;1133;564;152;35299
"150310 GURUPA";777;3154;4137;4141;3430;5271;3577;2246;1444;1055;508;223;29963
"150320 IGARAPE-ACU";612;2584;3663;4087;4104;6804;4922;3698;2659;1806;1025;450;36414
"150330 IGARAPE-MIRI";1410;5238;6435;6843;6869;11272;7799;5081;3661;2307;1289;700;58904
"150340 INHANGAPI";189;791;1100;1197;1155;1938;1362;1062;734;490;250;125;10393
"150345 IPIXUNA DO PARA";1016;4276;6145;6609;5368;10958;7865;4430;2548;1596;586;172;51569
"150350 IRITUIA";635;2680;3658;3778;3381;5426;4177;2783;2112;1608;829;425;31492
"150360 ITAITUBA";1867;7265;10165;11644;10519;18710;13983;10642;7051;3673;1761;628;97908
"150370 ITUPIRANGA";1208;4627;6055;6442;5474;9231;6681;4686;3632;2130;944;347;51457
"150375 JACAREACANGA";962;3977;4874;4328;3516;7751;6042;5615;2786;1136;374;126;41487
"150380 JACUNDA";1055;4099;5374;5876;5842;11035;8020;5352;3133;1834;982;391;52993
"150390 JURUTI";1286;5157;6650;6589;5457;8869;5931;3788;2738;1651;880;490;49486
"150400 LIMOEIRO DO AJURU";606;2443;3290;3484;3092;4744;3287;2052;1337;822;430;259;25846
"150405 MAE DO RIO";557;2291;3062;3201;3043;5279;4067;2686;1863;1239;664;338;28290
"150410 MAGALHAES BARATA";153;659;922;976;919;1360;935;768;596;480;277;134;8179
"150420 MARABA";5367;20290;25037;25937;25000;51181;37135;24826;15378;7863;4124;1445;243583
"150430 MARACANA";513;2232;3276;3600;3213;4558;3463;2668;2068;1573;884;450;28498
"150440 MARAPANIM";450;1905;2833;3238;2955;4338;3468;2603;2155;1554;929;462;26890
"150442 MARITUBA";2042;8150;10852;11566;10713;23611;20599;12579;7199;3666;1673;703;113353
"150445 MEDICILANDIA";497;2247;3093;3120;3073;5360;4109;3059;1978;1059;470;162;28227
"150450 MELGACO";797;3013;3711;3697;3099;4496;2977;1620;1002;539;247;176;25374
"150460 MOCAJUBA";560;2490;3510;3589;3146;4942;3345;2338;1590;1134;724;298;27666
"150470 MOJU";1721;6864;8970;9284;8385;13474;9572;6137;4045;2438;1176;531;72597
"150480 MONTE ALEGRE";956;4314;6421;6978;6267;8920;7630;5390;3999;2687;1593;649;55804
"150490 MUANA";765;3284;4402;4380;3953;6705;4781;3049;2033;1200;649;323;35524
"150495 NOVA ESPERANCA DO PIRIA";503;2015;2615;2658;2352;3805;2769;1654;1011;659;248;61;20350
"150497 NOVA IPIXUNA";309;1255;1682;1768;1609;2670;2050;1447;1120;738;306;111;15065
"150500 NOVA TIMBOTEUA";209;943;1340;1404;1368;2551;2041;1517;1142;806;471;220;14012
"150503 NOVO PROGRESSO";511;1927;2532;2763;2407;4565;4094;3359;1910;793;232;58;25151
"150506 NOVO REPARTIMENTO";1501;5914;7755;8075;7022;11838;8883;6116;4208;2443;1063;288;65106
"150510 OBIDOS";1120;4586;5956;5916;5214;8162;6532;4599;3420;2387;1297;574;49763
"150520 OEIRAS DO PARA";835;3304;4178;4070;3296;4985;3512;2139;1402;972;435;274;29402
"150530 ORIXIMINA";1479;6081;8139;8280;6948;11127;8627;5786;4066;2528;1367;550;64978
"150540 OUREM";322;1297;1807;2007;1849;2894;2215;1637;1121;791;449;212;16601
"150543 OURILANDIA DO NORTE";586;2322;2985;3131;3125;6050;4559;3006;1541;773;372;101;28551
"150548 PACAJA";1001;3655;4680;5156;4590;7629;5526;3961;2806;1653;769;228;41654
"150549 PALESTINA DO PARA";139;622;822;807;850;1311;969;704;562;387;203;89;7465
"150550 PARAGOMINAS";2231;8726;11162;11477;10404;21423;15682;9817;5814;2716;1166;428;101046
"150553 PARAUAPEBAS";3894;14050;16495;17005;16635;39978;27766;16274;8652;3496;1565;532;166342
"150555 PAU D'ARCO";115;421;575;683;652;1012;846;626;434;299;156;50;5869
"150560 PEIXE-BOI";122;536;783;853;772;1416;1046;859;666;412;274;130;7869
"150563 PICARRA";265;1034;1405;1526;1269;2210;1923;1318;902;546;221;82;12701
"150565 PLACAS";534;2367;3105;2903;2608;4963;3739;2396;1570;900;372;69;25526
"150570 PONTA DE PEDRAS";562;2380;3123;3124;3035;5057;3599;2582;1763;988;574;316;27103
"150580 PORTEL";1718;6553;8127;7909;5938;9218;6147;3526;2502;1535;765;368;54306
"150590 PORTO DE MOZ";1155;4126;4890;4981;4247;6435;4225;2486;1416;912;447;209;35529
"150600 PRAINHA";647;2786;4004;4209;3324;4840;3636;2542;1722;922;517;176;29325
"150610 PRIMAVERA";142;714;1128;1223;1134;1775;1349;1031;730;600;373;153;10352
"150611 QUATIPURU";163;965;1515;1496;1425;2178;1639;1248;891;589;374;156;12639
"150613 REDENCAO";1439;5556;7533;8499;8029;14710;12354;8938;5349;2917;1585;506;77415
"150616 RIO MARIA";287;1200;1658;1788;1709;3343;2748;2094;1433;888;432;148;17728
"150618 RONDON DO PARA";850;3450;4687;5132;5076;9380;7294;5473;3426;1963;936;369;48036
"150619 RUROPOLIS";825;3558;4976;5158;4462;7970;6018;4015;2853;1627;713;242;42417
"150620 SALINOPOLIS";699;2781;3870;4399;4247;7329;5410;3800;2618;1669;837;362;38021
"150630 SALVATERRA";400;1608;2180;2400;2356;3664;2936;2097;1481;1010;555;261;20948
"150635 SANTA BARBARA DO PARA";345;1325;1848;2108;1832;3357;2708;1876;1244;792;390;187;18012
"150640 SANTA CRUZ DO ARARI";156;610;835;965;987;1694;1292;880;546;363;198;67;8593
"150650 SANTA IZABEL DO PARA";1006;4136;5689;6302;6433;13249;10156;6616;3975;2478;1297;582;61919
"150655 SANTA LUZIA DO PARA";371;1551;2201;2422;2244;3605;2509;1733;1250;823;517;202;19428
"150658 SANTA MARIA DAS BARREIRAS";314;1386;1942;1970;1655;2891;2560;2253;1748;938;382;111;18150
"150660 SANTA MARIA DO PARA";321;1595;2320;2367;2453;4364;3533;2614;1748;1072;672;296;23355
"150670 SANTANA DO ARAGUAIA";1088;4620;6567;6921;5615;12106;10341;6210;3597;1927;729;198;59919
"150680 SANTAREM";5952;23640;31266;33645;32747;55953;41907;30189;21004;12768;7210;3138;299419
"150690 SANTAREM NOVO";143;495;673;820;708;1079;828;557;394;310;170;71;6248
"150700 SANTO ANTONIO DO TAUA";553;2102;2799;3169;3071;5039;4000;2641;1999;1389;674;271;27707
"150710 SAO CAETANO DE ODIVELAS";311;1262;1762;1966;1877;3073;2295;1640;1294;872;548;187;17087
"150715 SAO DOMINGOS DO ARAGUAIA";473;1942;2645;2820;2607;4065;3204;2202;1592;1133;684;235;23602
"150720 SAO DOMINGOS DO CAPIM";835;3105;3905;4061;3362;5095;3725;2367;1643;1252;579;286;30215
"150730 SAO FELIX DO XINGU";1492;7102;10401;10654;9599;21320;18026;11157;6012;2915;1018;209;99905
"150740 SAO FRANCISCO DO PARA";253;1036;1461;1640;1586;2795;2139;1592;1221;796;459;206;15184
"150745 SAO GERALDO DO ARAGUAIA";505;1941;2652;2974;2625;4598;3613;2565;1804;1125;601;274;25277
"150746 SAO JOAO DA PONTA";116;464;588;599;595;916;675;532;421;278;170;97;5451
"150747 SAO JOAO DE PIRABAS";390;1660;2325;2492;2338;3759;2731;1881;1491;1105;645;308;21125
"150750 SAO JOAO DO ARAGUAIA";308;1147;1495;1648;1480;2188;1646;1380;979;607;306;109;13293
"150760 SAO MIGUEL DO GUAMA";1066;4436;5968;6193;5770;9956;7334;5023;3295;2303;1120;644;53108
"150770 SAO SEBASTIAO DA BOA VISTA";579;2300;2906;2936;2812;4521;2924;1912;1264;816;468;258;23696
"150775 SAPUCAIA";94;378;531;586;512;999;780;663;388;199;82;24;5236
"150780 SENADOR JOSE PORFIRIO";323;1241;1585;1607;1273;2166;1716;1255;818;442;165;50;12641
"150790 SOURE";459;1764;2346;2632;2599;4241;3183;2421;1743;1123;697;253;23461
"150795 TAILANDIA";1736;7491;10243;10323;8965;19266;13471;7132;3632;2081;894;234;85468
"150796 TERRA ALTA";205;772;1103;1330;1212;1802;1360;1068;715;561;304;133;10565
"150797 TERRA SANTA";310;1379;2023;2182;1944;3076;2378;1468;1169;757;421;198;17305
